DateTime,MainStatus,SubStatus,FullStatus,StatusText,T,Service,FaultMsg,Value0
8/12/2014 5:25,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.4
8/12/2014 5:27,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.1
8/12/2014 5:29,0,0,0:00,Turbine in operation,1,FALSE,FALSE,8.1
8/12/2014 7:09,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.4
8/12/2014 7:10,0,2,0:02,Turbine operational,1,FALSE,FALSE,10
8/12/2014 7:12,0,1,0:01,Turbine starting,1,FALSE,FALSE,13
8/12/2014 7:13,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.6
8/12/2014 7:24,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9.1
8/12/2014 7:26,0,2,0:02,Turbine operational,1,FALSE,FALSE,11.5
8/12/2014 7:28,0,1,0:01,Turbine starting,1,FALSE,FALSE,11.7
8/12/2014 7:29,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.2
8/12/2014 7:50,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.4
8/12/2014 7:51,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.2
8/12/2014 7:53,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.5
8/12/2014 7:54,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10
8/12/2014 8:22,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,TRUE,8.9
8/12/2014 8:25,222,3,222:03:00,Turbine reset : Scada system,6,FALSE,FALSE,2.3
8/12/2014 8:25,0,2,0:02,Turbine operational,1,FALSE,FALSE,3.4
8/12/2014 8:28,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.3
8/12/2014 8:28,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,8.2
8/12/2014 8:29,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.3
8/12/2014 8:29,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.9
8/12/2014 16:07,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,7.7
8/12/2014 16:08,0,2,0:02,Turbine operational,1,FALSE,FALSE,9.7
8/12/2014 16:11,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.5
8/12/2014 16:12,0,0,0:00,Turbine in operation,1,FALSE,FALSE,8.6
8/12/2014 16:48,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,4.5
8/12/2014 16:48,8,0,8:00,Maintenance,6,TRUE,FALSE,5.1
8/12/2014 19:02,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,8.1
8/12/2014 19:39,0,0,0:00,Turbine in operation,1,FALSE,FALSE,6.9
9/12/2014 2:56,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,10
9/12/2014 2:57,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.3
9/12/2014 2:59,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.3
9/12/2014 3:00,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.4
9/12/2014 4:07,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9.2
9/12/2014 4:08,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.9
9/12/2014 4:10,0,1,0:01,Turbine starting,1,FALSE,FALSE,11.3
9/12/2014 4:11,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10.7
9/12/2014 4:29,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9
9/12/2014 4:30,0,2,0:02,Turbine operational,1,FALSE,FALSE,11
9/12/2014 4:33,0,1,0:01,Turbine starting,1,FALSE,FALSE,6.6
9/12/2014 4:34,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9
10/12/2014 9:54,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,11.4
10/12/2014 9:59,8,0,8:00,Maintenance,6,TRUE,FALSE,10.6
10/12/2014 12:28,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,9.4
10/12/2014 12:32,8,0,8:00,Maintenance,6,TRUE,FALSE,6.5
10/12/2014 12:41,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,11.3
10/12/2014 13:17,8,0,8:00,Maintenance,6,TRUE,FALSE,8.5
10/12/2014 13:53,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,14.8
10/12/2014 13:54,8,0,8:00,Maintenance,6,TRUE,FALSE,15.7
10/12/2014 14:45,0,8,0:08,Turbine in operation during maintenance,1,FALSE,FALSE,9.9
10/12/2014 14:57,0,0,0:00,Turbine in operation,1,FALSE,FALSE,8.8
15/12/2014 12:14:13,2,1,2:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.5
15/12/2014 13:14:17,0,2,0:02,Turbine operational,1,FALSE,FALSE,1.3
15/12/2014 13:14:19,0,1,0:01,Turbine starting,1,FALSE,FALSE,2
15/12/2014 13:17:56,0,0,0:00,Turbine in operation,1,FALSE,FALSE,2.5
15/12/2014 23:20:58,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,8.2
15/12/2014 23:25:37,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.8
15/12/2014 23:26:38,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.3
1/1/2015 11:10,72,301,72 : 301,Air gap monitoring : Sensor 1 blade C,6,FALSE,FALSE,19
1/1/2015 11:10,0,2,0:02,Turbine operational,1,FALSE,FALSE,9.2
1/1/2015 11:13,0,1,0:01,Turbine starting,1,FALSE,FALSE,18.4
1/1/2015 11:13,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,22
1/1/2015 11:15,0,1,0:01,Turbine starting,1,FALSE,FALSE,24.1
1/1/2015 11:16,0,0,0:00,Turbine in operation,1,FALSE,FALSE,19.8
1/1/2015 18:50,62,519,62 : 519,Feeding fault : No zero crossing several inv.,6,FALSE,FALSE,12.4
1/1/2015 19:43,222,1,222:01:00,Turbine reset : Power failure,6,FALSE,FALSE,2.6
1/1/2015 19:43,220,56,220:56:00,Processor reset : Fan inverter,6,FALSE,FALSE,2.8
1/1/2015 19:43,220,52,220:52:00,Processor reset : Yaw inverter 2,6,FALSE,FALSE,3.3
1/1/2015 19:43,220,51,220:51:00,Processor reset : Yaw inverter 1,6,FALSE,FALSE,3.3
1/1/2015 19:44,0,3,0:03,Start lead-up,1,FALSE,FALSE,3.3
1/1/2015 19:44,62,519,62 : 519,Feeding fault : No zero crossing several inv.,6,FALSE,FALSE,3.9
1/1/2015 20:44,62,519,62 : 519,Feeding fault : No zero crossing several inv.,6,FALSE,TRUE,12.4
1/1/2015 21:22,222,5,222:05:00,Turbine reset : Remote display,6,FALSE,FALSE,2.6
1/1/2015 21:22,62,519,62 : 519,Feeding fault : No zero crossing several inv.,6,FALSE,FALSE,2.8
1/1/2015 22:14,62,510,62 : 510,Feeding fault : No zero crossing inverter 10,6,FALSE,FALSE,10.3
